Country,Year,Reported Cholera Cases
AGO,2006,67257
AUS,2006,3
BDI,2006,886
BEN,2006,91
BFA,2006,0
BWA,2006,0
CAF,2006,0
CAN,2006,2
CHE,2006,1
CHN,2006,161
CIV,2006,414
CMR,2006,922
COD,2006,20642
COG,2006,175
COM,2006,0
CPV,2006,0
DEU,2006,1
DZA,2006,0
ERI,2006,0
ESP,2006,2
ETH,2006,54070
FRA,2006,2
GAB,2006,0
GBR,2006,49
GHA,2006,3357
GIN,2006,3242
GMB,2006,0
GNB,2006,37
GNQ,2006,0
IND,2006,1939
ITA,2006,1
JPN,2006,34
KEN,2006,870
LBR,2006,4929
LSO,2006,0
MDG,2006,0
MLI,2006,7
MOZ,2006,6306
MRT,2006,25
MUS,2006,0
MWI,2006,4148
MYS,2006,237
NAM,2006,185
NER,2006,1232
NGA,2006,2028
NLD,2006,3
NOR,2006,1
PHL,2006,66
RUS,2006,1
RWA,2006,405
SDN,2006,30662
SEN,2006,365
SLE,2006,2560
STP,2006,926
SWE,2006,1
SWZ,2006,18
SYC,2006,0
TCD,2006,1668
TGO,2006,1159
THA,2006,35
TZA,2006,14297
UGA,2006,5194
USA,2006,8
ZAF,2006,0
ZMB,2006,5360
ZWE,2006,789
