Country,Year,Reported Cholera Deaths
AGO,2007,513
AUS,2007,0
BDI,2007,2
CAN,2007,0
CHN,2007,0
CIV,2007,1
CMR,2007,1
COD,2007,600
COG,2007,133
COM,2007,29
DEU,2007,0
DJI,2007,27
ERI,2007,9
ESP,2007,0
ETH,2007,272
FRA,2007,0
GBR,2007,0
GHA,2007,18
GIN,2007,311
GMB,2007,1
GNB,2007,8
IND,2007,3
IRN,2007,0
IRQ,2007,24
ITA,2007,0
JPN,2007,0
KEN,2007,67
LAO,2007,3
LBR,2007,7
MOZ,2007,22
MRT,2007,0
MWI,2007,5
MYS,2007,0
NAM,2007,0
NER,2007,2
NGA,2007,48
NOR,2007,0
NPL,2007,0
PHL,2007,0
RWA,2007,21
SDN,2007,500
SEN,2007,24
SLE,2007,84
SOM,2007,1182
STP,2007,0
SVN,2007,0
SWZ,2007,0
SYC,2007,1
TCD,2007,0
TGO,2007,1
THA,2007,7
TZA,2007,65
UGA,2007,3
UKR,2007,0
USA,2007,0
VNM,2007,0
ZMB,2007,35
ZWE,2007,4
